Date,Turnover
01.01.2025,-1.00
01.01.2025,-1.70
02.01.2025,-0.99
02.01.2025,-19.32
02.01.2025,-0.79
04.01.2025,-3.00
05.01.2025,-0.95
06.01.2025,-18.10
06.01.2025,-8.77
06.01.2025,-28.74
07.01.2025,-14.36
08.01.2025,"+2,288.45"
09.01.2025,-2.89
11.01.2025,"-1,275.00"
11.01.2025,-4.00
12.01.2025,-1.00
12.01.2025,-1.00
13.01.2025,-40.95
13.01.2025,-40.00
15.01.2025,-30.00
16.01.2025,-1.00
17.01.2025,-18.11
18.01.2025,-3.00
20.01.2025,-15.90
20.01.2025,-56.25
20.01.2025,-14.99
20.01.2025,-459.76
20.01.2025,-7.90
20.01.2025,-5.00
21.01.2025,-6.55
23.01.2025,-1.00
24.01.2025,-5.00
25.01.2025,-4.00
25.01.2025,-3.19
26.01.2025,-4.99
26.01.2025,-20.00
26.01.2025,-5.24
27.01.2025,-10.82
27.01.2025,-38.64
28.01.2025,-10.20
28.01.2025,-11.68
29.01.2025,-7.90
29.01.2025,-5.00
30.01.2025,-1.00
30.01.2025,-30.00
31.01.2025,-8.58
